iter	Passed	Remaining
678	25913	50415
679	25957	50387
680	26000	50358
681	26043	50329
682	26088	50305
683	26131	50276
684	26179	50256
685	26220	50224
686	26263	50194
687	26308	50168
688	26349	50137
689	26398	50119
690	26443	50094
691	26486	50064
692	26528	50032
693	26572	50004
694	26618	49982
695	26663	49955
696	26723	49957
697	26767	49930
698	26811	49903
699	26853	49871
700	26899	49847
701	26941	49815
702	26985	49786
703	27030	49760
704	27071	49727
705	27095	49662
706	27132	49620
707	27168	49578
708	27205	49538
709	27229	49472
710	27252	49407
711	27275	49341
712	27312	49301
713	27337	49237
714	27360	49171
715	27387	49113
716	27414	49056
717	27439	48994
718	27464	48932
719	27488	48868
720	27513	48806
721	27538	48745
722	27562	48681
723	27598	48639
724	27622	48577
725	27647	48515
726	27682	48473
727	27721	48436
728	27748	48378
729	27772	48315
730	27797	48255
731	27821	48193
732	27856	48150
733	27893	48109
734	27928	48068
735	27954	48007
736	27989	47965
737	28025	47924
738	28050	47864
739	28075	47804
740	28101	47745
741	28127	47687
742	28153	47630
743	28181	47574
744	28208	47518
745	28235	47462
746	28263	47408
747	28291	47353
748	28320	47301
749	28351	47251
750	28383	47205
751	28414	47156
752	28445	47107
753	28478	47061
754	28510	47014
755	28542	46966
756	28573	46917
757	28604	46869
758	28636	46821
759	28669	46776
760	28702	46731
761	28733	46682
762	28766	46637
763	28799	46591
764	28831	46545
765	28863	46498
766	28896	46452
767	28930	46408
768	28964	46365
769	29001	46326
770	29037	46287
771	29074	46247
772	29111	46209
773	29148	46169
774	29181	46125
775	29214	46080
776	29246	46033
777	29278	45987
778	29312	45944
779	29344	45897
780	29383	45862
781	29427	45834
782	29471	45806
783	29515	45778
784	29559	45751
785	29614	45739
786	29659	45714
787	29706	45691
788	29753	45667
789	29798	45640
790	29842	45612
791	29889	45589
792	29933	45560
793	29976	45531
794	30020	45502
795	30064	45473
796	30108	45446
797	30152	45417
798	30197	45390
799	30239	45359
800	30284	45331
801	30328	45303
802	30372	45274
803	30416	45246
804	30463	45222
805	30506	45192
806	30551	45164
807	30598	45140
808	30644	45113
809	30688	45085
810	30734	45059
811	30778	45031
812	30823	45003
813	30868	44975
814	30914	44949
815	30962	44926
816	31008	44900
817	31054	44872
818	31104	44853
819	31150	44825
820	31193	44796
821	31238	44767
822	31281	44736
823	31325	44707
824	31371	44680
825	31417	44654
826	31463	44626
827	31508	44598
828	31552	44568
829	31596	44539
830	31645	44517
831	31692	44490
832	31739	44465
833	31783	44435
834	31828	44407
835	31875	44382
836	31918	44350
837	31962	44320
838	32007	44292
839	32051	44262
840	32094	44230
841	32140	44202
842	32183	44171
843	32230	44145
844	32274	44114
845	32317	44082
846	32360	44051
847	32404	44021
848	32447	43989
849	32492	43961
850	32537	43931
851	32583	43903
852	32626	43872
853	32670	43840
854	32715	43812
855	32760	43783
856	32811	43760
857	32843	43714
858	32879	43674
859	32904	43617
860	32928	43560
861	32955	43507
862	32982	43454
863	33011	43403
864	33039	43353
865	33067	43300
866	33094	43248
867	33118	43191
868	33142	43134
869	33179	43095
870	33205	43040
871	33242	43001
872	33278	42960
873	33303	42905
874	33327	42849
875	33352	42794
876	33389	42754
877	33415	42701
878	33451	42661
879	33492	42627
880	33518	42573
881	33543	42518
882	33567	42463
883	33594	42410
884	33622	42360
885	33649	42308
